Datetime,Location Name,Tsu,Vol,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
1934-11-30 02:05:00,MEXICO:  JALISCO,True,False,18.5,-105.5,5.0,7.0,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
1935-12-14 00:00:00,"MEXICO:  TUXTLA GUTIERREZ,GUERRERO,MEXICO CITY",False,False,16.5,-93.1,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1937-07-26 03:47:00,"MEXICO:  CENTRAL, PUEBLA:  ESPERANZA, VERACRUZ",False,False,18.523,-95.878,35.0,7.2,,34.0,1.0,,,,,,2.0,,,,,34.0,1.0,,,,,,2.0,,,,
1937-10-05 00:00:00,"MEXICO:  CHILPANCINGO,TIXTLA",False,False,17.3,-99.3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1937-12-23 13:18:00,MEXICO:  GUERRERO:  OMETEPEC,False,False,16.656,-98.338,,7.4,,4.0,1.0,,,,,,2.0,,1.0,,,4.0,1.0,,,,,,2.0,,1.0,,
1938-01-02 00:00:00,MEXICO:  OMETEPEC,False,False,16.1,-98.3,,,7.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
1938-06-28 00:00:00,MEXICO:  TELOLOAPAN,False,False,18.2,-99.5,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1941-04-15 19:09:00,"MEXICO:  MICHOACAN, COLIMA, JALISCO",False,False,18.9,-102.9,60.0,7.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,
1942-11-12 00:00:00,MEXICO:  JUCHITAN,False,False,16.3,-95.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1943-02-22 09:20:00,MEXICO:  GUERRERO: PARICUTIN VOLCANO FORMS,False,False,17.397,-101.37,20.0,7.4,7.0,5.0,1.0,,,,,,3.0,,,,,5.0,1.0,,,,,,3.0,,,,
1948-12-04 00:22:00,MEXICO:  MARIA MADRE ISLAND,True,False,22.0,-106.0,,6.9,,4.0,1.0,,,21.0,1.0,,3.0,,,,,4.0,1.0,,,21.0,1.0,,3.0,,,,
1950-11-17 19:28:00,MEXICO:  GUERRERO,False,False,16.5,-100.4,,6.8,11.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1950-12-14 14:15:00,MEXICO:  ACAPULCO,True,False,16.48,-98.22,50.0,7.5,5.0,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,
1951-07-09 00:03:00,MEXICO:  OAXACA:  MIAHIATLAN,False,False,15.99,-96.605,25.0,6.0,,1.0,1.0,,,,,,2.0,,,,,1.0,1.0,,,,,,2.0,,,,
1954-02-05 15:18:00,MEXICO:  CHIAPAS,False,False,17.283,-92.382,85.0,6.1,,6.0,1.0,,,,,17.0,3.0,,,,4.0,6.0,1.0,,,,,17.0,3.0,,,,4.0
1956-01-08 07:11:00,MEXICO:  GUERRERO,False,False,17.0,-99.5,,6.5,,,,,,,3.0,,3.0,,,,,,,,,,3.0,,3.0,,,,
1957-07-28 08:40:00,"MEXICO:  ACAPULCO,MEXICO CITY",True,False,16.5,-99.1,25.0,7.9,7.0,65.0,2.0,,,,3.0,25.0,4.0,,3.0,,,65.0,2.0,,,,3.0,25.0,4.0,,3.0,,
1959-05-24 19:17:00,MEXICO:  OAXACA;,False,False,17.0,-96.3,100.0,6.8,,,,,,,,,3.0,,,,,,,,,,,,,,,,
1959-08-26 08:25:00,MEXICO:  GULF OF CAMPECHE,False,False,18.3,-94.4,,6.9,,25.0,1.0,,,200.0,3.0,,3.0,,3.0,,,25.0,1.0,,,200.0,3.0,,3.0,,3.0,,
1962-05-11 14:11:00,MEXICO:  S,True,False,17.2,-99.6,40.0,7.0,8.0,4.0,1.0,,,,3.0,,2.0,,2.0,,,4.0,1.0,,,,3.0,,2.0,,2.0,,
1962-05-19 14:58:00,MEXICO:  S,True,False,17.2,-99.5,33.0,7.2,,3.0,1.0,,,16.0,1.0,,2.0,,2.0,,,3.0,1.0,,,16.0,1.0,,2.0,,2.0,,
1964-07-06 07:22:00,MEXICO:  GUERRERO,False,False,18.136,-100.605,93.0,7.3,,78.0,2.0,,,50.0,1.0,,3.0,,3.0,,,78.0,2.0,,,50.0,1.0,,3.0,,3.0,,
1965-08-23 19:46:00,"MEXICO:  ME\XICO CITY, OAXACA",True,False,16.3,-95.8,28.0,7.8,,6.0,1.0,,,,,,1.0,,,,1.0,6.0,1.0,,,,,,1.0,,,,1.0
1968-08-02 14:06:00,"MEXICO:  OAXACA, GUERRERO",True,False,16.519,-97.739,25.0,7.3,7.0,18.0,1.0,,,,,2.4,2.0,,,,,18.0,1.0,,,,,2.4,2.0,,,,
1968-09-25 10:38:00,MEXICO-GUATEMALA:  S CHIAPAS,True,False,15.573,-92.536,124.0,6.1,,20.0,1.0,,,500.0,3.0,,2.0,,,,,20.0,1.0,,,500.0,3.0,,2.0,,,,
1973-01-30 21:01:00,"MEXICO:  S, FARIAS, TECOMAN",True,False,18.48,-103.0,43.0,7.5,,56.0,2.0,,,390.0,3.0,,2.0,,2.0,,,56.0,2.0,,,390.0,3.0,,2.0,,2.0,,
1973-08-28 09:50:00,"MEXICO:  VERACRUZ, MEXICO CITY",False,False,18.27,-96.6,84.0,6.2,7.0,600.0,3.0,,,,4.0,,3.0,,,,,600.0,3.0,,,,4.0,,3.0,,,,
1976-06-07 14:26:00,MEXICO:  MEXICO CITY,False,False,17.4,-100.64,45.0,6.4,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1978-03-19 01:39:00,MEXICO:  ACAPULCO,False,False,17.03,-99.74,36.0,6.6,,1.0,1.0,,,25.0,1.0,,2.0,,,,,1.0,1.0,,,25.0,1.0,,2.0,,,,
1978-11-29 19:52:00,MEXICO:  OAXACA,True,False,16.01,-96.591,18.0,7.7,,9.0,1.0,,,,3.0,,2.0,,,,,9.0,1.0,,,,3.0,,2.0,,,,
