"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1900"",""Country = MEXICO""]"																																						
	1959	5	24	19	17	0			"MEXICO:  OAXACA;"	17	-96.3	100	6.8									3																
	1959	8	26	8	25	31			"MEXICO:  GULF OF CAMPECHE"	18.3	-94.4		6.9		25	1			200	3		3		3			25	1			200	3		3		3		
	1962	5	11	14	11	54.1	1931		"MEXICO:  S"	17.2	-99.6	40	7	8	4	1				3		2		2			4	1				3		2		2		
	1962	5	19	14	58	15	1932		"MEXICO:  S"	17.2	-99.5	33	7.2		3	1			16	1		2		2			3	1			16	1		2		2		
	1964	7	6	7	22	13.2			"MEXICO:  GUERRERO"	18.136	-100.605	93	7.3		78	2			50	1		3		3			78	2			50	1		3		3		
	1965	8	23	19	46	2.9	1975		"MEXICO:  ME\XICO CITY, OAXACA"	16.3	-95.8	28	7.8		6	1						1				1	6	1						1				1
	1968	8	2	14	6	43.7	5847		"MEXICO:  OAXACA, GUERRERO"	16.519	-97.739	25	7.3	7	18	1					2.4	2					18	1					2.4	2				
	1968	9	25	10	38	39.5	2010		"MEXICO-GUATEMALA:  S CHIAPAS"	15.573	-92.536	124	6.1		20	1			500	3		2					20	1			500	3		2				
	1973	1	30	21	1	12.5	2058		"MEXICO:  S, FARIAS, TECOMAN"	18.48	-103	43	7.5		56	2			390	3		2		2			56	2			390	3		2		2		
	1973	8	28	9	50	40			"MEXICO:  VERACRUZ, MEXICO CITY"	18.27	-96.6	84	6.2	7	600	3				4		3					600	3				4		3				
	1976	6	7	14	26	39.1			"MEXICO:  MEXICO CITY"	17.4	-100.64	45	6.4									2																
	1978	3	19	1	39	14			"MEXICO:  ACAPULCO"	17.03	-99.74	36	6.6		1	1			25	1		2					1	1			25	1		2				
	1978	11	29	19	52	47.6	2109		"MEXICO:  OAXACA"	16.01	-96.591	18	7.7		9	1				3		2					9	1				3		2				
	1979	3	14	11	7	16.3	2112		"MEXICO:  GUERRERO"	17.813	-101.276	49	7.6		5	1			35	1	30	4	200	3			5	1			35	1	30	4	200	3		
	1980	6	9	3	28	18.9			"MEXICO:  NW"	32.22	-114.985	5	6.4	5	1	1			100	2		2					1	1			100	2		2				
	1980	10	24	14	53	35.1			"MEXICO:  S, HUAJAPAN DE LEON, OAXACA"	18.211	-98.24	72	6.4	9	300	3				3	5	2		3			300	3				3	5	2		3		
	1981	10	25	3	22	15.5	2132		"MEXICO:  MICHOACAN: LAZARO CARDENAS"	18.048	-102.084	33	7.3		3	1			28			2				2	3	1			28	1		2				2
	1982	3	28	4	16	52.5		3518	"MEXICO:  CHIAPAS"	17.25	-93.21	9	3.5		10	1			200	3		1					1879	4	1755	4			3.3	2				
	1982	6	7	10	59	40.1			"MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE"	16.558	-98.358	34	7	6	9	1				3		2					9	1				3		2				
	1983	1	24	8	17	39.6			"MEXICO:  OAXACA:   SALINA CRUZ"	16.147	-95.232	57	6.7	7								2												2				
	1985	9	19	13	17	47.3	2162		"MEXICO:  MICHOACAN:  MEXICO CITY"	18.19	-102.533	28	8.1	9	9500	4			30000	4	4000	4		4			9500	4			30000	4	4000	4		4		
	1985	9	21	1	37	13.4	2163		"MEXICO:  SW COAST:  MEXICO CITY"	17.802	-101.647	31	7.6	6		2						2						2						2				
	1989	4	25	14	29	0.5			"MEXICO:  MEXICO CITY, ACAPULCO"	16.773	-99.328	19	6.8	6	3	1				1		2					3	1				1		2				
	1995	9	14	14	4	31.4	2251		"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY"	16.779	-98.597	23	7.4		3	1			100	2		2					3	1			100	2		2				
	1995	10	9	15	35	53.9	2252		"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE"	19.055	-104.205	33	8		49	2			200	3		2		2			50	1			200	3		2		2		
