Datetime,Location Name,Tsu,Vol,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description
1930-08-31 00:40:00,CALIFORNIA:  SOUTHERN,True,False,34.03,-118.643,15.0,5.2,7.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,,
1932-06-06 08:44:00,CALIFORNIA: EUREKA,False,False,40.729,-124.287,15.0,6.5,8.0,1.0,1.0,,,,,,2.0,,1.0,,,1.0,1.0,,,,,,2.0,,1.0,,
1932-12-20 00:00:00,NEVADA:  CEDAR MOUNTAIN,False,False,38.7,-117.8,,7.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,
1933-03-11 01:54:00,CALIFORNIA:  LONG BEACH,True,False,33.62,-117.97,16.0,6.3,9.0,120.0,3.0,,,,,41.0,4.0,,,,,120.0,3.0,,,,,41.0,4.0,,,,
1934-03-12 15:05:00,UTAH,False,False,41.7,-112.8,,6.6,8.0,2.0,1.0,,,,,,2.0,,,,1.0,2.0,1.0,,,,,,2.0,,,,1.0
1934-12-31 00:00:00,"CALIFORNIA:  BAJA,IMPERIAL VALLEY",False,False,31.8,-115.5,,7.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1935-10-19 04:48:00,MONTANA:  HELENA,False,False,46.6,-112.0,,6.2,8.0,2.0,1.0,,,,3.0,19.0,3.0,300.0,3.0,,,2.0,1.0,,,,3.0,19.0,3.0,300.0,3.0,,
1935-10-31 18:37:00,MONTANA:  HELENA,False,False,46.6,-112.0,,6.0,8.0,2.0,1.0,,,,,6.0,3.0,,,,,2.0,1.0,,,,,6.0,3.0,,,,
1938-11-10 20:18:00,ALASKA,True,False,55.48,-158.37,25.0,8.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1940-05-19 04:36:00,CALIFORNIA; MEXICO,False,False,32.733,-115.5,16.0,7.2,10.0,9.0,1.0,,,,,33.0,4.0,,,,,9.0,1.0,,,,,33.0,4.0,,,,
1940-07-14 05:52:00,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,False,False,52.0,178.2,65.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,
1941-02-09 09:44:00,CALIFORNIA:  NORTHERN,True,False,40.5,-125.25,,6.6,6.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1944-09-05 04:38:00,NEW YORK:  MASSENA,False,False,44.957,-74.723,12.0,5.6,8.0,,,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,
1946-04-01 12:29:00,ALASKA:  UNIMAK ISLAND,True,False,53.492,-162.832,15.0,8.6,6.0,,,,,,,,,,,,,168.0,3.0,,,,,26.271,4.0,,3.0,,
1947-04-10 15:58:00,CALIFORNIA,False,False,35.0,-116.6,,6.4,,,,,,,,,2.0,,,,,,,,,,,,,,,,
1948-05-14 22:31:00,ALASKA:  ALASKA PENINSULA,False,False,54.5,-161.0,25.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
1949-04-13 19:55:00,WASHINGTON,True,False,47.167,-122.617,,7.0,8.0,8.0,1.0,,,,,25.0,4.0,,,,,8.0,1.0,,,,,25.0,4.0,,,,
1951-08-21 10:57:00,HAWAII,True,False,19.7,-156.0,60.0,6.9,,,,,,2.0,1.0,,2.0,8.0,1.0,230.0,3.0,,,,,,,,,,,,
1952-07-21 11:52:00,CALIFORNIA:  KERN COUNTY,False,False,35.0,-119.017,16.0,7.7,11.0,12.0,1.0,,,,3.0,60.0,4.0,,3.0,,2.0,12.0,1.0,,,,3.0,60.0,4.0,,3.0,,2.0
1952-08-22 22:41:00,CALIFORNIA:  KERN COUNTY,False,False,35.333,-118.917,16.0,5.8,8.0,2.0,1.0,,,,2.0,10.0,3.0,90.0,2.0,,,2.0,1.0,,,,,10.0,3.0,90.0,2.0,,
1954-07-06 11:13:00,NEVADA:  FALLON,False,False,39.4,-118.5,,6.8,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
1954-08-23 00:00:00,NEVADA:  STILLWATER RANGE,False,False,39.6,-118.5,,6.8,12.0,,,,,,,,,,,,,,,,,,,,,,,,
1954-12-16 11:07:00,NEVADA:  DIXIE VALLEY,False,False,39.3,-118.2,,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
1954-12-21 19:56:00,CALIFORNIA:  HUMBOLDT COUNTY,False,False,40.846,-123.893,15.0,6.6,,1.0,1.0,,,,1.0,2.1,2.0,,,,,1.0,1.0,,,,1.0,2.1,2.0,,,,
1957-03-09 14:22:00,ALASKA,True,True,51.292,-175.629,33.0,8.6,,,,,,,,,1.0,,,,,2.0,1.0,,,1.0,1.0,,3.0,,,,
1957-03-22 14:21:00,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,False,False,55.0,-165.2,,7.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,
1957-03-22 19:44:00,CALIFORNIA:  SAN MATEO COUNTY,False,False,37.557,-122.724,15.0,5.7,,,,,,40.0,1.0,1.0,2.0,,,,,,,,,40.0,1.0,1.0,2.0,,,,
1958-07-10 06:15:00,ALASKA:  LITUYA BAY,True,False,58.37,-136.665,35.0,7.8,11.0,,,,,,,,1.0,,1.0,,,5.0,1.0,,,,,0.1,1.0,,1.0,,
1959-08-18 06:37:00,MONTANA:  HEBGEN LAKE,True,False,44.712,-111.215,5.0,7.7,10.0,28.0,1.0,,,,,11.0,3.0,,,,2.0,28.0,1.0,,,,,11.0,3.0,,,,2.0
1962-08-30 13:35:00,UTAH,False,False,41.8,-111.8,37.0,5.8,7.0,,,,,,,1.0,2.0,,,,2.0,,,,,,,1.0,2.0,,,,2.0
1962-12-21 08:42:00,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,True,False,52.47,-168.54,33.0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
1964-03-28 03:36:00,ALASKA,True,False,61.017,-147.648,33.0,9.2,10.0,15.0,1.0,,,,,284.0,4.0,,3.0,,,139.0,3.0,,,,,400.0,4.0,,3.0,,
1965-02-04 05:01:00,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,True,False,51.29,178.55,36.0,8.7,6.0,,,,,,,,1.0,,,,,,,,,,,0.01,1.0,,,,
1965-03-30 02:27:00,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,True,False,50.32,177.93,20.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,
1965-04-29 15:28:00,WASHINGTON:  SEATTLE,False,False,47.4,-122.3,59.0,6.6,8.0,7.0,1.0,,,,,28.0,4.0,,,,,7.0,1.0,,,,,28.0,4.0,,,,
1965-07-02 20:58:00,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,True,False,53.03,-167.55,40.0,6.5,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1969-10-02 04:56:00,CALIFORNIA:  SANTA ROSA,False,False,38.467,-122.692,10.0,4.8,8.0,1.0,1.0,,,,,8.35,3.0,,,,,1.0,1.0,,,,,8.35,3.0,,,,
1970-03-11 22:38:00,ALASKA:  ANDREANOF ISLANDS,True,False,57.5,-153.9,29.0,6.0,5.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1971-02-09 14:00:00,CALIFORNIA:  SAN FERNANDO,False,False,34.412,-118.4,8.0,6.5,11.0,65.0,2.0,,,2000.0,4.0,505.0,4.0,,,,,65.0,2.0,,,2000.0,4.0,505.0,4.0,,,,
1971-05-02 06:08:00,ALASKA:  ANDREANOF ISLANDS,True,False,51.4,-177.2,43.0,7.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1971-11-06 22:00:00,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,True,False,51.5,179.1,2.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,
1972-07-30 21:45:00,"ALASKA:  SITKA, JUNEAU",True,False,56.82,-135.68,25.0,7.6,7.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1973-02-21 14:45:00,CALIFORNIA:  OXNARD,False,False,34.1,-119.0,8.0,5.7,7.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
1973-04-26 20:26:00,HAWAII: HILO,False,False,19.936,-155.098,48.0,6.5,8.0,,,,,11.0,1.0,5.75,3.0,,,,,,,,,11.0,1.0,5.75,3.0,,,,
1975-02-02 08:43:00,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,False,False,53.11,173.5,10.0,7.6,9.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
1975-03-28 02:31:00,IDAHO:  POCATELLO VALLEY,False,False,42.06,-112.55,5.0,6.0,8.0,,,,,1.0,1.0,1.0,2.0,,,520.0,3.0,,,,,1.0,1.0,1.0,2.0,,,520.0,3.0
1975-08-01 20:20:00,CALIFORNIA:  OROVILLE,False,False,39.439,-121.528,15.0,5.6,8.0,,,,,10.0,1.0,3.0,2.0,,,,,,,,,10.0,1.0,3.0,2.0,,,,
1975-11-29 14:47:00,HAWAII,True,True,19.451,-155.033,2.0,7.7,9.0,,,,,,,4.0,2.0,,,,,2.0,1.0,,,,,4.0,2.0,,3.0,,
1978-08-13 22:54:00,CALIFORNIA:  SOUTHERN,False,False,34.284,-119.795,10.0,5.8,7.0,,,,,65.0,2.0,15.0,3.0,,,,,,,,,65.0,2.0,15.0,3.0,,,,
1979-02-28 21:27:00,ALASKA,True,False,60.691,-141.671,18.0,7.5,7.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
1979-10-15 23:16:00,CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,False,False,32.634,-115.324,10.0,6.9,9.0,,,,,91.0,2.0,30.0,4.0,2.0,1.0,1565.0,4.0,,,,,91.0,2.0,30.0,4.0,2.0,1.0,1565.0,4.0
1980-01-24 19:00:00,CALIFORNIA:  LIVERMORE,False,False,37.855,-121.816,11.0,5.9,7.0,,,,,50.0,1.0,11.5,3.0,,,,,,,,,50.0,1.0,11.5,3.0,,,,
1980-05-18 15:32:00,WASHINGTON:  MT ST HELENS,True,True,46.214,-122.194,4.0,5.2,5.0,,,,,,,,,,,,,61.0,2.0,,,,,2000.0,4.0,,,,
1980-05-25 16:33:00,CALIFORNIA:  MAMMOTH LAKES,False,False,37.6,-118.84,7.0,6.1,7.0,,,,,7.0,1.0,2.0,2.0,,,,,,,,,7.0,1.0,2.0,2.0,,,,
1980-07-27 18:52:00,KENTUCKY:  MAYSVILLE,False,False,38.174,-83.907,8.0,5.1,7.0,,,,,2.0,1.0,1.0,2.0,,,,,,,,,2.0,1.0,1.0,2.0,,,,
1980-11-08 10:27:00,CALIFORNIA:  NORTH COAST,False,False,41.117,-124.253,19.0,7.2,7.0,,,,,6.0,1.0,2.0,2.0,,,,1.0,,,,,6.0,1.0,2.0,2.0,,,,1.0
